word,meaning,source_sentence,target_sentence,input_text,target_text
Bỏ,Cho vào Để lại tâm trạng,"Chị cho tôi một tô phở, nhớ bỏ ớt, bỏ hành","Chị cho tôi một bát phở, nhớ cho ớt, cho hành","Bỏ [SEP] Cho vào Để lại tâm trạng [SEP] Chị cho tôi một tô phở, nhớ bỏ ớt, bỏ hành","Chị cho tôi một bát phở, nhớ cho ớt, cho hành"
Nhợ,"Dây nhỏ bằng vải, dùng làm dây câu, dây thả diều.","Chuyện hai đứa bây, đầu dây mối nhợ ra sao, tụi bây nói tao nghe coi.","Chuyện của hai đứa, ngọn ngành sự việc ra sao, nói tôi nghe xem.","Nhợ [SEP] Dây nhỏ bằng vải, dùng làm dây câu, dây thả diều. [SEP] Chuyện hai đứa bây, đầu dây mối nhợ ra sao, tụi bây nói tao nghe coi.","Chuyện của hai đứa, ngọn ngành sự việc ra sao, nói tôi nghe xem."
Cải lương,Loại hình nghệ thuật sân khấu đặc trưng Nam Bộ có hát và diễn,Sân khấu cải lương đã trải qua hơn 80 năm,Nghệ thuật sân khấu cải lương đã tồn tại hơn 80 năm,Cải lương [SEP] Loại hình nghệ thuật sân khấu đặc trưng Nam Bộ có hát và diễn [SEP] Sân khấu cải lương đã trải qua hơn 80 năm,Nghệ thuật sân khấu cải lương đã tồn tại hơn 80 năm
Bàn chặm,Khúc gỗ kẹp giấy thấm mực,Lấy bàn chặm chặm cái chữ nhiều mực đi khéo nó lem,Lấy giấy thấm dặm chỗ nhiều mực đi kẻo nó lem,Bàn chặm [SEP] Khúc gỗ kẹp giấy thấm mực [SEP] Lấy bàn chặm chặm cái chữ nhiều mực đi khéo nó lem,Lấy giấy thấm dặm chỗ nhiều mực đi kẻo nó lem
Từa lưa hột dưa,"Bừa bộn, nát bét",Làm gì mà bày ra nhìn từa lưa hột dưa.,"Làm gì mà bày biện trông kinh khủng, bừa bãi thế.","Từa lưa hột dưa [SEP] Bừa bộn, nát bét [SEP] Làm gì mà bày ra nhìn từa lưa hột dưa.","Làm gì mà bày biện trông kinh khủng, bừa bãi thế."
Liểm,"Lẻm, ăn nhanh, nuốt gọn cả miếng cuỗm sạch, giết chết.",Mới dọn ra chưa kịp mời ai là nó đã liểm hết.,Mới dọn ra chưa kịp mời ai là nó đã tọng hết.,"Liểm [SEP] Lẻm, ăn nhanh, nuốt gọn cả miếng cuỗm sạch, giết chết. [SEP] Mới dọn ra chưa kịp mời ai là nó đã liểm hết.",Mới dọn ra chưa kịp mời ai là nó đã tọng hết.
Xếch xác,Lôi thôi xiên vẹo,"Bác Tư hay nói tới chuyện xếch xác hoài, tao quen tai rồi.","Bác Tư hay nói tới chuyện lôi thôi; xiên vẹo mãi, tớ quen tai rồi.","Xếch xác [SEP] Lôi thôi xiên vẹo [SEP] Bác Tư hay nói tới chuyện xếch xác hoài, tao quen tai rồi.","Bác Tư hay nói tới chuyện lôi thôi; xiên vẹo mãi, tớ quen tai rồi."
Tiền cắc nhựt,Đồng lẻ Thời xưa,"Ở dưới quê người ta hay tiền cắc lắm, trên này ít hơn.","Ở dưới quê người ta hay đồng lẻ lắm, trên này ít hơn.","Tiền cắc nhựt [SEP] Đồng lẻ Thời xưa [SEP] Ở dưới quê người ta hay tiền cắc lắm, trên này ít hơn.","Ở dưới quê người ta hay đồng lẻ lắm, trên này ít hơn."
Ứ nước mắt,"Mủi lòng, muốn khóc",Đâm hành củ hay bị ứ nước mắt.,Thái hành củ hay bị chảy nước mắt.,"Ứ nước mắt [SEP] Mủi lòng, muốn khóc [SEP] Đâm hành củ hay bị ứ nước mắt.",Thái hành củ hay bị chảy nước mắt.
Hớt,"1. Hếch lên.2. Cắt (cắt tóc, cắt ngắn).",Bây giờ công việc đầu tiên là đi hớt tóc cái đã,Bây giờ việc đầu tiên là đi cắt tóc cái đã,"Hớt [SEP] 1. Hếch lên.2. Cắt (cắt tóc, cắt ngắn). [SEP] Bây giờ công việc đầu tiên là đi hớt tóc cái đã",Bây giờ việc đầu tiên là đi cắt tóc cái đã
Nói sảng,1. Nói nhảm trong lúc mê sảng bệnh.2. Nói bậy bạ.,"Cái thằng đó nó nói sảng, chớ làm gì có chuyện đó.","Cái thằng đó nó bịa chuyện linh tinh, chứ làm gì có chuyện đó.","Nói sảng [SEP] 1. Nói nhảm trong lúc mê sảng bệnh.2. Nói bậy bạ. [SEP] Cái thằng đó nó nói sảng, chớ làm gì có chuyện đó.","Cái thằng đó nó bịa chuyện linh tinh, chứ làm gì có chuyện đó."
Lớt lớt,"Sơ sơ bề ngoài làm chơi cho vui dăm ba, một ít lưa thưa.",Ăn lớt lớt vài chén,Ăn lót dạ vài bát,"Lớt lớt [SEP] Sơ sơ bề ngoài làm chơi cho vui dăm ba, một ít lưa thưa. [SEP] Ăn lớt lớt vài chén",Ăn lót dạ vài bát
Ô dề,"1. Thô kệch, chai sạn.2. Lôi thôi, luộm thuộm, không ngăn nắp.",Chân tay mấy người làm ruộng... ai cũng ô dề như vậy đó.,Chân tay người làm nông... ai cũng sần sùi thô kệch vậy đấy.,"Ô dề [SEP] 1. Thô kệch, chai sạn.2. Lôi thôi, luộm thuộm, không ngăn nắp. [SEP] Chân tay mấy người làm ruộng... ai cũng ô dề như vậy đó.",Chân tay người làm nông... ai cũng sần sùi thô kệch vậy đấy.
Tằng tẹo,Quan hệ lén lút,"Bà Chín hay nói tới chuyện tằng tẹo hoài, tao quen tai rồi.","Bà Chín hay nói tới chuyện quan hệ lén lút mãi, tớ quen tai rồi.","Tằng tẹo [SEP] Quan hệ lén lút [SEP] Bà Chín hay nói tới chuyện tằng tẹo hoài, tao quen tai rồi.","Bà Chín hay nói tới chuyện quan hệ lén lút mãi, tớ quen tai rồi."
Lóng (2),"Gạn, lọc nước",Lấy cho mẹ cái khăn thưa để mẹ lóng ba cái bột mới xay,Lấy cho mẹ miếng vải màn đề mẹ lọc chỗ bột mới xay,"Lóng (2) [SEP] Gạn, lọc nước [SEP] Lấy cho mẹ cái khăn thưa để mẹ lóng ba cái bột mới xay",Lấy cho mẹ miếng vải màn đề mẹ lọc chỗ bột mới xay
Bởi,Gọi tên người thân của ai đó ra để chửi,"Nó làm gì mày, mà mày bởi tên cha mẹ nó vậy?",Dù giận đến mấy cũng không nên xúc phạm đến cha mẹ người ta,"Bởi [SEP] Gọi tên người thân của ai đó ra để chửi [SEP] Nó làm gì mày, mà mày bởi tên cha mẹ nó vậy?",Dù giận đến mấy cũng không nên xúc phạm đến cha mẹ người ta
Mết,"1. Mặc bộ đồ suốt lê la tấp vào.2. Mê tít.3. Bết bát, tồi tệ.",Có bộ đồ mới nó cứ mết vô đi chơi tối ngày,Có bộ quần áo mới nó cứ mặc đi chơi suốt ngày,"Mết [SEP] 1. Mặc bộ đồ suốt lê la tấp vào.2. Mê tít.3. Bết bát, tồi tệ. [SEP] Có bộ đồ mới nó cứ mết vô đi chơi tối ngày",Có bộ quần áo mới nó cứ mặc đi chơi suốt ngày
Khi không,"Tự nhiên, vô cớ",Khi không cái trời mưa tầm tã làm ướt nhẹp hết đồ.,Tự dưng trời mưa tầm tã làm ướt sũng hết quần áo.,"Khi không [SEP] Tự nhiên, vô cớ [SEP] Khi không cái trời mưa tầm tã làm ướt nhẹp hết đồ.",Tự dưng trời mưa tầm tã làm ướt sũng hết quần áo.
Lợi,"Lại.1. Di chuyển ngược chiều.2. Di chuyển phạm vi gần.3. Sự lặp lại, tái diễn.4. Trở về trạng thái cũ.5. Không thể đối phó (không lại).",Nghỉ mấy ngày mà cũng chưa lợi sức.,Nghỉ mấy ngày mà cũng chưa lại sức.,"Lợi [SEP] Lại.1. Di chuyển ngược chiều.2. Di chuyển phạm vi gần.3. Sự lặp lại, tái diễn.4. Trở về trạng thái cũ.5. Không thể đối phó (không lại). [SEP] Nghỉ mấy ngày mà cũng chưa lợi sức.",Nghỉ mấy ngày mà cũng chưa lại sức.
Xá xị,Nước ngọt vị thuốc bắc,"Tao học được cái xá xị này từ hồi nhỏ, giờ vẫn nhớ.","Tớ học được cái nước ngọt vị thuốc bắc này từ hồi nhỏ, giờ vẫn nhớ.","Xá xị [SEP] Nước ngọt vị thuốc bắc [SEP] Tao học được cái xá xị này từ hồi nhỏ, giờ vẫn nhớ.","Tớ học được cái nước ngọt vị thuốc bắc này từ hồi nhỏ, giờ vẫn nhớ."
Ngồi phè,Ngồi phè ra đó,"Cuối tuần được nghỉ, tao chỉ khoái ngồi phè ở nhà bật quạt nằm ngủ.","Cuối tuần được nghỉ, tôi chỉ thích ngồi ễnh bụng ở nhà bật quạt nằm ngủ.","Ngồi phè [SEP] Ngồi phè ra đó [SEP] Cuối tuần được nghỉ, tao chỉ khoái ngồi phè ở nhà bật quạt nằm ngủ.","Cuối tuần được nghỉ, tôi chỉ thích ngồi ễnh bụng ở nhà bật quạt nằm ngủ."
Sơ (Cơm),"Xới, đảo cơm cho tơi","Ở dưới quê người ta hay sơ lắm, trên này ít hơn.","Ở dưới quê người ta hay xới lắm, trên này ít hơn.","Sơ (Cơm) [SEP] Xới, đảo cơm cho tơi [SEP] Ở dưới quê người ta hay sơ lắm, trên này ít hơn.","Ở dưới quê người ta hay xới lắm, trên này ít hơn."
Cười lão,Cười khà khà ra chiều như ông già,Mới còn thanh niên mà cũng bày đặt cười lão nghe thấy ghét,"Mới chỉ là thanh niên trai tráng mà đã bày đặt cười khà khà ra vẻ ông cụ non, nghe phát ghét",Cười lão [SEP] Cười khà khà ra chiều như ông già [SEP] Mới còn thanh niên mà cũng bày đặt cười lão nghe thấy ghét,"Mới chỉ là thanh niên trai tráng mà đã bày đặt cười khà khà ra vẻ ông cụ non, nghe phát ghét"
Luông tuồng,"1. Buông tuồng, không chừng mực.2. Ăn thông liên hoàn, chằng chịt (hẻm).","rủ rê bạn bè nó lại phá gà, phá vịt, hoặc thả đi luông tuồng.","rủ rê bạn bè nó lại phá gà, phá vịt, hoặc bỏ đi buông tuồng.","Luông tuồng [SEP] 1. Buông tuồng, không chừng mực.2. Ăn thông liên hoàn, chằng chịt (hẻm). [SEP] rủ rê bạn bè nó lại phá gà, phá vịt, hoặc thả đi luông tuồng.","rủ rê bạn bè nó lại phá gà, phá vịt, hoặc bỏ đi buông tuồng."
Eo ếch,"Eo lưng, vùng thắt lưng",Cột mũi chiếc xuồng ba lá vào eo ếch,Buộc mũi chiếc xuồng ba lá vào thắt lưng,"Eo ếch [SEP] Eo lưng, vùng thắt lưng [SEP] Cột mũi chiếc xuồng ba lá vào eo ếch",Buộc mũi chiếc xuồng ba lá vào thắt lưng
Giầu (),"Giàu, nhiều, phong phú",Vùng đất này giầu tài nguyên thật,Khu rừng này rất giàu tài nguyên thiên nhiên quý,"Giầu () [SEP] Giàu, nhiều, phong phú [SEP] Vùng đất này giầu tài nguyên thật",Khu rừng này rất giàu tài nguyên thiên nhiên quý
Bơ miệng Bơ mỏ Bơ mõm,Nhịn đói Làm ngơ không nói,Lục nồi cơm nguội coi - Rồi bơ miệng luôn,Lục nồi cơm nguội xem - Hết sạch nhịn đói luôn,Bơ miệng Bơ mỏ Bơ mõm [SEP] Nhịn đói Làm ngơ không nói [SEP] Lục nồi cơm nguội coi - Rồi bơ miệng luôn,Lục nồi cơm nguội xem - Hết sạch nhịn đói luôn
Xiếng,"Đừ, mệt ngất ngư",Làm xong mệt xiếng cả người.,Làm xong mệt lử cả người.,"Xiếng [SEP] Đừ, mệt ngất ngư [SEP] Làm xong mệt xiếng cả người.",Làm xong mệt lử cả người.
Nhí nháu,"Nhăng xị, nhí nhố bàn chuyện to nhỏ.","Không có ai trông coi, nên bọn trẻ nó nhí nháu quá đi.","Mô tả sự lộn xộn, ồn ào vô kỷ luật của đám trẻ khi thiếu vắng người lớn.","Nhí nháu [SEP] Nhăng xị, nhí nhố bàn chuyện to nhỏ. [SEP] Không có ai trông coi, nên bọn trẻ nó nhí nháu quá đi.","Mô tả sự lộn xộn, ồn ào vô kỷ luật của đám trẻ khi thiếu vắng người lớn."
Thau tháu,"Linh hoạt, nhanh nhẹn","Tao học được cái thau tháu này từ hồi nhỏ, giờ vẫn nhớ.","Tớ học được cái linh hoạt này từ hồi nhỏ, giờ vẫn nhớ.","Thau tháu [SEP] Linh hoạt, nhanh nhẹn [SEP] Tao học được cái thau tháu này từ hồi nhỏ, giờ vẫn nhớ.","Tớ học được cái linh hoạt này từ hồi nhỏ, giờ vẫn nhớ."
Chẽn dừng,Tấm vách ngăn đôi,"Căn nhà nhỏ hẹp, tấm chẽn dừng trước sau cũng tạm bợ","Căn nhà nhỏ hẹp, tấm vách ngăn trước sau cũng tạm bợ","Chẽn dừng [SEP] Tấm vách ngăn đôi [SEP] Căn nhà nhỏ hẹp, tấm chẽn dừng trước sau cũng tạm bợ","Căn nhà nhỏ hẹp, tấm vách ngăn trước sau cũng tạm bợ"
Cóm róm,"Khúm núm, cúm rúm rụt người lại vì sợ hãi","Tôi cóm róm bước chưa đầy nửa thước sân, ba con chó vện ở đâu ùa ra","Tôi khúm núm bước chưa được nửa mét, tự nhiên ba con chó vện ở đâu ùa ra dọa nạt","Cóm róm [SEP] Khúm núm, cúm rúm rụt người lại vì sợ hãi [SEP] Tôi cóm róm bước chưa đầy nửa thước sân, ba con chó vện ở đâu ùa ra","Tôi khúm núm bước chưa được nửa mét, tự nhiên ba con chó vện ở đâu ùa ra dọa nạt"
Á ngộ,"cách nói biểu cảm, biểu thị sự nhận thức ra một điều phi lí và thể hiện một sự ngạc nhiên lớn, thường dược dùng ở đầu phát ngôn","Á ngộ, đi câu lén mà còn ca mùi chọ bị bắt, bị lạy","Á ngộ, đi câu lén mà còn ca mùi chọ bị bắt, bị lạy","Á ngộ [SEP] cách nói biểu cảm, biểu thị sự nhận thức ra một điều phi lí và thể hiện một sự ngạc nhiên lớn, thường dược dùng ở đầu phát ngôn [SEP] Á ngộ, đi câu lén mà còn ca mùi chọ bị bắt, bị lạy","Á ngộ, đi câu lén mà còn ca mùi chọ bị bắt, bị lạy"
Bà sơ,Mẹ của ông bà cố,Bà ấy tôi kêu tới bằng bả sơ lận đó,Bà ấy tôi phải gọi bằng bà sơ đấy,Bà sơ [SEP] Mẹ của ông bà cố [SEP] Bà ấy tôi kêu tới bằng bả sơ lận đó,Bà ấy tôi phải gọi bằng bà sơ đấy
Tươi tái,Mặt mày tươi tắn,Thấy mặt nó nhìn tươi tái là vui rồi.,Thấy khuôn mặt nó rạng rỡ là vui rồi.,Tươi tái [SEP] Mặt mày tươi tắn [SEP] Thấy mặt nó nhìn tươi tái là vui rồi.,Thấy khuôn mặt nó rạng rỡ là vui rồi.
Nghe,"Nhé, nha (từ đệm cuối câu thể hiện sự thân tình, dặn dò).",Cố gắng siêng năng học hành nghen con.,Cố gắng siêng năng học hành nhé con.,"Nghe [SEP] Nhé, nha (từ đệm cuối câu thể hiện sự thân tình, dặn dò). [SEP] Cố gắng siêng năng học hành nghen con.",Cố gắng siêng năng học hành nhé con.
Khến,"Đánh, nện, trừng phạt mạnh.","Khến cho nó một cái, cho nó chừa cái tật ăn vụng.","Nện cho nó một cái, cho nó chừa cái tật ăn vụng.","Khến [SEP] Đánh, nện, trừng phạt mạnh. [SEP] Khến cho nó một cái, cho nó chừa cái tật ăn vụng.","Nện cho nó một cái, cho nó chừa cái tật ăn vụng."
Mài,"Kiên trì đeo bám, ngồi lì ở một nơi.",Thằng đó nó chịu mài lắm,Thằng đó nó kiên trì bám trụ lắm,"Mài [SEP] Kiên trì đeo bám, ngồi lì ở một nơi. [SEP] Thằng đó nó chịu mài lắm",Thằng đó nó kiên trì bám trụ lắm
Bánh men,Bánh nhỏ bằng viên men Đi dự đám tang,Chiều nay tao bận đi ăn bánh men ở nhà Ba Gà,Chiều nay tôi bận đi dự đám tang ở nhà Ba Gà,Bánh men [SEP] Bánh nhỏ bằng viên men Đi dự đám tang [SEP] Chiều nay tao bận đi ăn bánh men ở nhà Ba Gà,Chiều nay tôi bận đi dự đám tang ở nhà Ba Gà
Vặc một vặc hai,Quyết liệt Hỗn hào,Tụi bây thấy vặc một không? Tao thấy từ hồi nãy rồi.,Các bạn thấy quyết liệt không? Tớ thấy từ nãy rồi.,Vặc một vặc hai [SEP] Quyết liệt Hỗn hào [SEP] Tụi bây thấy vặc một không? Tao thấy từ hồi nãy rồi.,Các bạn thấy quyết liệt không? Tớ thấy từ nãy rồi.
Cù lát,"Quy-lát, bộ khóa nòng súng",- Hồi hôm qua tôi lượm cái cù lát đó Có lẽ cái cù lái còn trên bàn,- Hôm qua tôi nhặt được cái khóa nòng súng Có lẽ nó bị bỏ quên trên bàn,"Cù lát [SEP] Quy-lát, bộ khóa nòng súng [SEP] - Hồi hôm qua tôi lượm cái cù lát đó Có lẽ cái cù lái còn trên bàn",- Hôm qua tôi nhặt được cái khóa nòng súng Có lẽ nó bị bỏ quên trên bàn
Ướt át,"Lâm li, mùi mẫn",Thư từ gì mà viết ướt át quá vậy?,Thư từ gì mà viết ủy mị quá vậy?,"Ướt át [SEP] Lâm li, mùi mẫn [SEP] Thư từ gì mà viết ướt át quá vậy?",Thư từ gì mà viết ủy mị quá vậy?
Chánh hiệu con nai vàng,"Hàng tốt nhất, chất lượng tuyệt hảo nhất",Anh mua cái ti vi Sony này coi như chánh hiệu con nai vàng rồi,Anh mua chiếc tivi này là chọn đúng loại tốt nhất rồi đấy,"Chánh hiệu con nai vàng [SEP] Hàng tốt nhất, chất lượng tuyệt hảo nhất [SEP] Anh mua cái ti vi Sony này coi như chánh hiệu con nai vàng rồi",Anh mua chiếc tivi này là chọn đúng loại tốt nhất rồi đấy
Rầm trời,Vang động ầm ĩ,Súng nổ rầm trời.,Tiếng súng nổ vang trời.,Rầm trời [SEP] Vang động ầm ĩ [SEP] Súng nổ rầm trời.,Tiếng súng nổ vang trời.
Ba trật ba vuột,"Không ăn khớp, lỡ dở, không thuận lợi",Hẹn nhau ba trật ba vuột như vậy chờ có nước chết,Hẹn nhau lỡ dở thế này chờ có mà chết,"Ba trật ba vuột [SEP] Không ăn khớp, lỡ dở, không thuận lợi [SEP] Hẹn nhau ba trật ba vuột như vậy chờ có nước chết",Hẹn nhau lỡ dở thế này chờ có mà chết
Xà niềng,Đầu bị nghiêng lệch sang một bên,"Ở dưới quê người ta hay xà niềng lắm, trên này ít hơn.","Ở dưới quê người ta hay đầu bị nghiêng lệch sang lắm, trên này ít hơn.","Xà niềng [SEP] Đầu bị nghiêng lệch sang một bên [SEP] Ở dưới quê người ta hay xà niềng lắm, trên này ít hơn.","Ở dưới quê người ta hay đầu bị nghiêng lệch sang lắm, trên này ít hơn."
Lóng (1),"Gióng, đoạn giữa",Chứng khoảng hai lóng tre là làm đủ rồi,Chứng khoảng hai gióng tre là làm đủ rồi,"Lóng (1) [SEP] Gióng, đoạn giữa [SEP] Chứng khoảng hai lóng tre là làm đủ rồi",Chứng khoảng hai gióng tre là làm đủ rồi
Đồn rần Đồn rùm,"Đồn đại rùm beng, ai cũng biết",Chuyện đó bà con lối xóm đồn rần cả tuần nay,Chuyện đó bà con lối xóm đồn ầm lên cả tuần nay rồi,"Đồn rần Đồn rùm [SEP] Đồn đại rùm beng, ai cũng biết [SEP] Chuyện đó bà con lối xóm đồn rần cả tuần nay",Chuyện đó bà con lối xóm đồn ầm lên cả tuần nay rồi
Láu quáu (xáu),"Lau chau, hấp tấp vội vàng hay hỏng việc.",Cái thằng đó tính tình láu quáu lắm,Cái thằng đó tính tình lau chau lắm,"Láu quáu (xáu) [SEP] Lau chau, hấp tấp vội vàng hay hỏng việc. [SEP] Cái thằng đó tính tình láu quáu lắm",Cái thằng đó tính tình lau chau lắm
Nấm thấp,"Trũng thấp, lõm xuống (nền gạch).",Những chỗ nấm thấp mà cứ để vậy đi thì sẽ bể gạch hết.,Những chỗ trũng thấp mà cứ để vậy đi thì sẽ vỡ gạch hết.,"Nấm thấp [SEP] Trũng thấp, lõm xuống (nền gạch). [SEP] Những chỗ nấm thấp mà cứ để vậy đi thì sẽ bể gạch hết.",Những chỗ trũng thấp mà cứ để vậy đi thì sẽ vỡ gạch hết.
Bời bời,Trạng thái lưu chuyển thông thoáng và hơi mạnh (gió),Gió thổi bời bời vào căn nhà chỏi của cậu Tư Nhớ,"Gió lùa mạnh qua cửa sổ, làm tung bay hết giấy tờ",Bời bời [SEP] Trạng thái lưu chuyển thông thoáng và hơi mạnh (gió) [SEP] Gió thổi bời bời vào căn nhà chỏi của cậu Tư Nhớ,"Gió lùa mạnh qua cửa sổ, làm tung bay hết giấy tờ"
Líu quýu,"Luýnh quýnh, luống cuống líu ríu.",Nói năng líu quýu,Nói năng líu nhíu,"Líu quýu [SEP] Luýnh quýnh, luống cuống líu ríu. [SEP] Nói năng líu quýu",Nói năng líu nhíu
Mắt bù lạch,"Mắt bé ti hí, mắt kèm nhèm nhìn không rõ (trông gà hóa cuốc).",Nhìn cái thằng mắt bù lạch là hổng có cảm tình rồi.,Nhìn cái thằng mắt ti hí là không có cảm tình rồi.,"Mắt bù lạch [SEP] Mắt bé ti hí, mắt kèm nhèm nhìn không rõ (trông gà hóa cuốc). [SEP] Nhìn cái thằng mắt bù lạch là hổng có cảm tình rồi.",Nhìn cái thằng mắt ti hí là không có cảm tình rồi.
Quẹo quọ,"Vẹo vọ, xiên xẹo",Xếp hàng gì mà nhìn quẹo quọ.,Xếp hàng gì mà trông lộn xộn.,"Quẹo quọ [SEP] Vẹo vọ, xiên xẹo [SEP] Xếp hàng gì mà nhìn quẹo quọ.",Xếp hàng gì mà trông lộn xộn.
Chạt,"Tạt, hất mạnh nước, sình văng ra (mảnh đạn)",Sóng lớn quá nước chạt vào be thuyền văng tứ tung,"Sóng lớn quá, nước tạt mạnh vào mạn thuyền văng tung tóe","Chạt [SEP] Tạt, hất mạnh nước, sình văng ra (mảnh đạn) [SEP] Sóng lớn quá nước chạt vào be thuyền văng tứ tung","Sóng lớn quá, nước tạt mạnh vào mạn thuyền văng tung tóe"
Trớp Trớt,Tuột mất Sai bét,Đoán đại nên kết quả nhìn trớt quớt.,Đoán bừa nên kết quả sai bét.,Trớp Trớt [SEP] Tuột mất Sai bét [SEP] Đoán đại nên kết quả nhìn trớt quớt.,Đoán bừa nên kết quả sai bét.
Tướng núi,"Bậm trợn, to lớn",Nhìn cái tướng núi của nó ai mà dám đụng.,Nhìn bộ dạng bặm trợn của nó ai mà dám chạm vào.,"Tướng núi [SEP] Bậm trợn, to lớn [SEP] Nhìn cái tướng núi của nó ai mà dám đụng.",Nhìn bộ dạng bặm trợn của nó ai mà dám chạm vào.
Nấn,"Nán lại, nắn thẳng, nong rộng Lưỡng lự nấn ná Nuối tiếc nán lại.",Ảnh có ý nấn lại thêm ít hôm,Anh ấy có ý nán lại thêm ít hôm,"Nấn [SEP] Nán lại, nắn thẳng, nong rộng Lưỡng lự nấn ná Nuối tiếc nán lại. [SEP] Ảnh có ý nấn lại thêm ít hôm",Anh ấy có ý nán lại thêm ít hôm
Chế (4),Chế tạo tạm bợ Nói bịa Chế tạo đồ mới,"Ông lấy mấy cái thau nhôm chế thành mấy cái chụp đèn, Thằng đó nó hay chế lắm","Ông ấy lấy mấy cái chậu nhôm chế thành mấy cái chao đèn, Thằng đó nó hay bịa chuyện lắm","Chế (4) [SEP] Chế tạo tạm bợ Nói bịa Chế tạo đồ mới [SEP] Ông lấy mấy cái thau nhôm chế thành mấy cái chụp đèn, Thằng đó nó hay chế lắm","Ông ấy lấy mấy cái chậu nhôm chế thành mấy cái chao đèn, Thằng đó nó hay bịa chuyện lắm"
Lì một lam,Bắn đạn một loạt làm một li (rượu) mừng tuổi.,Hai đứa nhỏ cũng được tiền lì xì mấy trăm.,Hai đứa nhỏ cũng được tiền mừng tuổi mấy trăm.,Lì một lam [SEP] Bắn đạn một loạt làm một li (rượu) mừng tuổi. [SEP] Hai đứa nhỏ cũng được tiền lì xì mấy trăm.,Hai đứa nhỏ cũng được tiền mừng tuổi mấy trăm.
Đút miệng,"Xen vào, nói leo vào chuyện của người khác",ai mượn mà mày đút miệng vô cho chúng chửi,ai mượn mà cậu cứ xen vào để người ta chửi cho,"Đút miệng [SEP] Xen vào, nói leo vào chuyện của người khác [SEP] ai mượn mà mày đút miệng vô cho chúng chửi",ai mượn mà cậu cứ xen vào để người ta chửi cho
Bọn,"Lửa tàn, hết chất cháy","Con bớt lửa dùm má, để củi bọn thôi là đủ chín","Con bớt lửa giúp mẹ, để lửa liu riu thôi là đủ chín","Bọn [SEP] Lửa tàn, hết chất cháy [SEP] Con bớt lửa dùm má, để củi bọn thôi là đủ chín","Con bớt lửa giúp mẹ, để lửa liu riu thôi là đủ chín"
Ngủ gục,"Ngủ gật, ngủ trong lúc làm việc học ở tư thế ngồi.","Ngủ trưa một chút đi con, không thôi chiều đi học ngủ gục là bị phạt đó nghen.","Ngủ trưa một chút đi con, không thì chiều đi học ngủ gật là bị phạt đó nhé.","Ngủ gục [SEP] Ngủ gật, ngủ trong lúc làm việc học ở tư thế ngồi. [SEP] Ngủ trưa một chút đi con, không thôi chiều đi học ngủ gục là bị phạt đó nghen.","Ngủ trưa một chút đi con, không thì chiều đi học ngủ gật là bị phạt đó nhé."
Củi đòn,Củi gộc nguyên khúc to chưa chẻ,"Mấy cái củi đòn này, gặp dịp nấu bánh tét chụm là hết ý",Mấy khúc củi gộc này dùng để đun nồi bánh chưng bánh tét thì cháy đượm phải biết,"Củi đòn [SEP] Củi gộc nguyên khúc to chưa chẻ [SEP] Mấy cái củi đòn này, gặp dịp nấu bánh tét chụm là hết ý",Mấy khúc củi gộc này dùng để đun nồi bánh chưng bánh tét thì cháy đượm phải biết
Thứa,Thớ gỗ Tư cách (khinh),Mày là cái thứa gì mà đòi dạy đời.,Cậu là cái tư cách gì mà đòi dạy đời.,Thứa [SEP] Thớ gỗ Tư cách (khinh) [SEP] Mày là cái thứa gì mà đòi dạy đời.,Cậu là cái tư cách gì mà đòi dạy đời.
Bầu (),Mang thai,Trông thấy mấy bà bầu đi mà phát mệt,Trông thấy mấy bà chửa đi mà phát mệt,Bầu () [SEP] Mang thai [SEP] Trông thấy mấy bà bầu đi mà phát mệt,Trông thấy mấy bà chửa đi mà phát mệt
Bơ mỏ,"Nhịn, không có gì ăn (cách dùng hạ thấp sắc thái, hàm ý vật hóa)","Có ăn mà không biết giữ, để bây giờ bơ mỏ mày mới biết","Lúc có tiền thì không tiết kiệm, giờ thì đói nhăn răng ra đấy","Bơ mỏ [SEP] Nhịn, không có gì ăn (cách dùng hạ thấp sắc thái, hàm ý vật hóa) [SEP] Có ăn mà không biết giữ, để bây giờ bơ mỏ mày mới biết","Lúc có tiền thì không tiết kiệm, giờ thì đói nhăn răng ra đấy"
Lội,1. Bơi (lội nước).2. Đi bộ vất vả (lội bộ).3. Thay đổi cá cược nhảy phe.,Nhóm hàng xáo lại nhảy (lội) qua gà ông B,Nhóm cò mồi lại quay xe cược cho gà ông B,Lội [SEP] 1. Bơi (lội nước).2. Đi bộ vất vả (lội bộ).3. Thay đổi cá cược nhảy phe. [SEP] Nhóm hàng xáo lại nhảy (lội) qua gà ông B,Nhóm cò mồi lại quay xe cược cho gà ông B
Ba hột,"Một ít, một chút (chỉ hạt cơm, xôi)",Mưa ba hột cho nó mát tí đi ông trời,Mưa một chút cho nó mát tí đi ông trời,"Ba hột [SEP] Một ít, một chút (chỉ hạt cơm, xôi) [SEP] Mưa ba hột cho nó mát tí đi ông trời",Mưa một chút cho nó mát tí đi ông trời
Xe thổ mộ,Xe ngựa có mui,Đi xe thổ mộ lộc cộc trên đường quê.,Đi xe ngựa có mui lộc cộc trên đường quê.,Xe thổ mộ [SEP] Xe ngựa có mui [SEP] Đi xe thổ mộ lộc cộc trên đường quê.,Đi xe ngựa có mui lộc cộc trên đường quê.
